src-001	页码=未分配	PPagenT 产品叙事：把 PPT 生成变成可靠的生产过程
src-002	页码=2	做 PPT，真正昂贵的不是“画”
src-003	页码=2	做 PPT，真正昂贵的不是“画”
src-004	页码=2	做 PPT，真正昂贵的不是“画”
src-005	页码=2	做 PPT，真正昂贵的不是“画”
src-006	页码=2	做 PPT，真正昂贵的不是“画”
src-007	页码=2	做 PPT，真正昂贵的不是“画”
src-008	页码=3	PPagenT 选择的是概率最大的需求
src-009	页码=3	PPagenT 选择的是概率最大的需求
src-010	页码=3	PPagenT 选择的是概率最大的需求
src-011	页码=3	PPagenT 选择的是概率最大的需求
src-012	页码=3	PPagenT 选择的是概率最大的需求
src-013	页码=3	PPagenT 选择的是概率最大的需求
src-014	页码=3	PPagenT 选择的是概率最大的需求
src-015	页码=3	PPagenT 选择的是概率最大的需求
src-016	页码=3	PPagenT 选择的是概率最大的需求
src-017	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-018	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-019	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-020	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-021	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-022	页码=4	稳定跨过可用线，比偶然惊艳更重要
src-023	页码=5	用限制自由换取可靠性
src-024	页码=5	用限制自由换取可靠性
src-025	页码=5	用限制自由换取可靠性
src-026	页码=5	用限制自由换取可靠性
src-027	页码=5	用限制自由换取可靠性
src-028	页码=5	用限制自由换取可靠性
src-029	页码=5	用限制自由换取可靠性
src-030	页码=6	AI 是控制器，不是画师
src-031	页码=6	AI 是控制器，不是画师
src-032	页码=6	AI 是控制器，不是画师
src-033	页码=6	AI 是控制器，不是画师
src-034	页码=6	AI 是控制器，不是画师
src-035	页码=6	AI 是控制器，不是画师
src-036	页码=6	AI 是控制器，不是画师
src-037	页码=7	核心架构：建设能力，再稳定调用
src-038	页码=7	核心架构：建设能力，再稳定调用
src-039	页码=7	核心架构：建设能力，再稳定调用
src-040	页码=7	核心架构：建设能力，再稳定调用
src-041	页码=8	把昂贵的计算前移
src-042	页码=8	把昂贵的计算前移
src-043	页码=8	把昂贵的计算前移
src-044	页码=8	把昂贵的计算前移
src-045	页码=8	把昂贵的计算前移
src-046	页码=9	真正积累的不是一万个模板
src-047	页码=9	真正积累的不是一万个模板
src-048	页码=9	真正积累的不是一万个模板
src-049	页码=9	真正积累的不是一万个模板
src-050	页码=9	真正积累的不是一万个模板
src-051	页码=9	真正积累的不是一万个模板
src-052	页码=10	从一个学校，走向更多组织
src-053	页码=10	从一个学校，走向更多组织
src-054	页码=10	从一个学校，走向更多组织
src-055	页码=10	从一个学校，走向更多组织
src-056	页码=11	最后，它仍然只想解决一件普通的事
src-057	页码=11	最后，它仍然只想解决一件普通的事
src-058	页码=11	最后，它仍然只想解决一件普通的事
src-059	页码=11	最后，它仍然只想解决一件普通的事
src-060	页码=11	最后，它仍然只想解决一件普通的事
